Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german
roboticsITAVDesc,items,,,,"This contraption can be used handheld. You can also deploy it on the ground using the Secondary Action. \n \n Repair with a Repair Kit. \n Scrap to Tool Part Fragments.",,"Diese Vorrichtung kann in der Hand gehalten werden. Sie können sie auch mit der sekundären Aktion auf dem Boden einsetzen. \n \n  Mit einem Reparaturset reparieren. \n In Werkzeugteilfragmente zerlegen."
weaponPartsITAVDesc,items,,,,"Used to craft new weapons. \n Scrap to Weapon Part Fragments.",,"Wird verwendet, um neue Waffen herzustellen. \n Zu Waffenteilfragmenten verschrotten."
toolPartsITAVDesc,items,,,,"Used to craft new useful things. \n Scrap to Tool Part Fragments.",,"Wird verwendet, um neue nützliche Dinge herzustellen. \n  Zu Werkzeugteilfragmenten verschrotten."

meleeWpnSpearT3SteelSpearSchematic,,,,,"Steel Spear Schematic",,"Stahlspeer-Schema"
meleeWpnClubT3SteelClubSchematic,,,,,"Steel Club Schematic",,"Stahlkeulenschema"
armorMilitaryStealthBootsSchematic,items,,,,"Military Stealth Boots Schematic",,"Militärische Stealth-Stiefel-Schema"

resourceClayLumpBundle,items,,,,"Stack of Clay (6000)",,"Lehmstapel (6000)"
forestFlowerITAV,blocks,,,,"Decorative Forest Flower",,"Dekorative Waldblume"
plantedGoldenrod3FlowerITAV,blocks,,,,"Decorative Goldenrod plant",,"Dekorative Goldrutenpflanze"
plantedChrysanthemum3FlowerITAV,blocks,,,,"Decorative Chrysanthemum plant",,"Dekorative Chrysanthemenpflanze"
plantedCoffee3FlowerITAV,blocks,,,,"Decorative Coffee plant",,"Dekorative Kaffeepflanze"
plantedAloe3FlowerITAV,blocks,,,,"Decorative Aloe plant",,"Dekorative Aloe-Pflanze"
plantedYucca3FlowerITAV,blocks,,,,"Decorative Yucca plant",,"Dekorative Yucca-Pflanze"
plantedBlueberry3FlowerITAV,blocks,,,,"Decorative Blueberry plant",,"Dekorative Heidelbeerpflanze"
plantedPotato3FlowerITAV,blocks,,,,"Decorative Potato plant",,"Dekorative Kartoffelpflanze"
plantedSnowberry3FlowerITAV,blocks,,,,"Decorative Snowberry plant",,"Dekorative Schneebeerpflanze"
plantedPumpkin2FlowerITAV,blocks,,,,"Decorative Pumpkin flower",,"Dekorative Kürbisblüte"
plantedPumpkin3FlowerITAV,blocks,,,,"Decorative Pumpkin plant",,"Dekorative Kürbispflanze"
plantedCorn2FlowerITAV,blocks,,,,"Decorative Corn plant",,"Dekorative Maispflanze"
birdBathPlanterITAV,blocks,,,,"Decorative Planter",,"Dekorativer Pflanzkübel"
cntSodaFountainITAV,blocks,,,,"Soda Fountain",,"Sodabrunnen"
cntCoffeeMakerITAV,blocks,,,,"Coffee Maker",,"Kaffeemaschine"
cntCoffeeMakerCommercialITAV,blocks,,,,"Large Coffee Maker",,"Große Kaffeemaschine"


LightITAVDesc,blocks,,,,"Light up the world! Requires connection to a power source. Use a wire tool to connect it.",,"Erleuchte die Welt! Erfordert eine Verbindung zu einer Stromquelle. Verwenden Sie zum Anschließen ein Drahtwerkzeug."

LightFuseboxITAVDesc,blocks,,,,"Use the wireless fusebox to connect lights to their power source with invisible cables. Requires a wire tool.",,"Verwenden Sie den drahtlosen Sicherungskasten, um Lampen mit unsichtbaren Kabeln an ihre Stromquelle anzuschließen. Erfordert ein Drahtwerkzeug."
signPillsLogoSmallLightITAV,blocks,,,,"Small Pills Logo Sign",,"Kleines Pillen-Logo-Schild"
signPillsLogoLightITAV,blocks,,,,"Pills Logo Sign",,"Pillen-Logo-Schild"
LightwallLight01ITAV,blocks,,,,"Warehouse Outdoor Light",,"Lager Außenleuchte"
LightchandelierLightITAV,blocks,,,,"Chandelier",,"Leuchter"
LightStreetLightClassicITAV,blocks,,,,"Classic Street Light",,"Klassische Straßenlaterne"
signShopOpenLightITAV,blocks,,,,"Shop Open Sign",,"Ladenöffnungsschild"
LightDeskLampLightITAV,blocks,,,,"Desk Lamp",,"Schreibtischlampe"
LightTableLampLightITAV,blocks,,,,"Table Lamp",,"Tischlampe"
LightTableLampLightCenteredITAV,blocks,,,,"Table Lamp Centered",,"Tischlampe zentriert"
LightPorchLight01ITAV,blocks,,,,"Old Porch Lamp",,"Alte Verandalampe"
LightPorchLight04BrassITAV,blocks,,,,"Brass Porch Lamp",,"Verandalampe aus Messing"
LightPorchLight04ITAV,blocks,,,,"Iron Porch Lamp",,"Eiserne Verandalampe"
LightCeilingLight02ITAV,blocks,,,,"Iron Ceiling Lamp",,"Eiserne Deckenlampe"
LightCeilingLight02BrassITAV,blocks,,,,"Brass Ceiling Lamp",,"Deckenlampe aus Messing"
LightEndTableLampITAV,blocks,,,,"Side Table with Lamp",,"Beistelltisch mit Lampe"
sconce1LightITAV,blocks,,,,"Sconce Light",,"Wandlampe"
ceilingFanLightITAV,blocks,,,,"Ceiling Fan Light",,"Deckenventilator Licht"
recessedLightITAV,blocks,,,,"Recessed Light",,"Einbauleuchte"
industrialLight02RedLightITAV,blocks,,,,"Red Industrial Light",,"Rotes Industrielicht"

wirelessRelayFuseboxLightITAV,blocks,,,,"Wireless Fusebox",,"Drahtloser Sicherungskasten"
window03WoodITAV,blocks,,,,"Wood Window",,"Holzfenster"
window03Wood,blocks,,,,"Wood Window Centered",,"Holzfenster zentriert"
window03WoodBulletproofCenterITAV,blocks,,,,"Bulletproof Window Centered",,"Kugelsicheres Fenster zentriert"
window03WoodBulletproofITAV,blocks,,,,"Bulletproof Window",,"Kugelsicheres Fenster"
houseFrontDoor1_v1BulletProofITAV,blocks,,,,"Bulletproof Door White Wood",,"Kugelsichere Tür Weiß Holz"
houseFrontDoor2_v1BulletProofITAV,blocks,,,,"Bulletproof Door Brown Wood",,"Kugelsichere Tür Braun Holz"
commercialDoor1_v1BulletProofITAV,blocks,,,,"Bulletproof Door Metal Bar",,"Kugelsicherer Metallbügel für Türen"
commercialDoor2_v1BulletProofITAV,blocks,,,,"Bulletproof Door Metal Basic",,"Panzerschutztür Metall Basic"
window03WoodBulletproofITAVDesc,blocks,,,,"This window takes 3000 dmg before it breaks. Cannot be picked up!",,"Dieses Fenster braucht 3000 dmg, bevor es zerbricht. Kann nicht aufgehoben werden!"
doorBulletproofITAVDesc,blocks,,,,"This door takes 3000 dmg before it breaks. Cannot be picked up!",,"Diese Tür braucht 3000 dmg, bevor sie zerbricht. Kann nicht aufgehoben werden!"

decoCookingPotITAV,blocks,,,,"Decorative Cooking Pot",,"Dekorativer Kochtopf"
decoStorageITAVDesc,blocks,,,,"Decorative, lockable storage item that cannot be lifted once placed.",,"Dekoratives, abschließbares Aufbewahrungsobjekt, das nach dem Platzieren nicht mehr angehoben werden kann."
cntFoodPileSmallITAV,blocks,,,,"Food Pile, Small",,"Essenshaufen, Klein"
cntFoodPileMediumITAV,blocks,,,,"Food Pile, Medium",,"Lebensmittelhaufen, mittel"
cntFoodPileLargeITAV,blocks,,,,"Food Pile, Large",,"Lebensmittelhaufen, groß"
cntClothesRackRectanglePantsITAV,blocks,,,,"Clothes Rack, Rectangle, Pants",,"Kleiderständer, Rechteck, Hose"
cntClothesRackRectangleShirtsITAV,blocks,,,,"Clothes Rack, Rectangle, Shirts",,"Kleiderständer, Rechteck, Hemden"
cntClothesRackRoundPantsITAV,blocks,,,,"Clothes Rack, Round, Pants",,"Kleiderständer, rund, Hose"
cntClothesRackRoundShirtsITAV,blocks,,,,"Clothes Rack, Round, Shirts",,"Kleiderständer, rund, Hemden"
restaurantBoothVariantHelper,blocks,,,,"Restaurant Booth Sofa Variant Helper",,"Restaurant Stand Sofa Varianten Helfer"
fastFoodBoothVariantHelper,blocks,,,,"Fast Food Booth Table Variant Helper",,"Fast-Food Standtisch Varianten Helfer"
cntBarrelAcidQuadAITAV,blocks,Block,,,Rusty green barrels,,Rostige grüne Fässer
cntBarrelGenericQuadAITAV,blocks,Block,,,Rusty grey barrels,,Rostige graue Fässer
cntBarrelGasQuadAITAV,blocks,Block,,,Rusty gas barrels,,Rostige Benzinfässer
cntBarrelAcidQuadBITAV,blocks,Block,,,Rusty green barrels,,Rostige grüne Fässer
cntBarrelGenericQuadBITAV,blocks,Block,,,Rusty grey barrels,,Rostige graue Fässer
cntBarrelGasQuadBITAV,blocks,Block,,,Rusty gas barrels,,Rostige Benzinfässer
cntWoodBurningStoveDecoITAV,blocks,Block,,,Wood Burning Stove,,Holzofen

signBread01ITAVSchematic,items,,,,"Sign: Bread 01 Schematic",,"Schild: Brot 01 Schaltplan"
signBread02ITAVSchematic,items,,,,"Sign: Bread 02 Schematic",,"Schild: Brot 02 Schaltplan"
barStoolVariantHelperITAVSchematic,items,,,,"Bar Stool Schematic",,"Barhocker Schema"
decoReptileTerrariumITAVSchematic,items,,,,"Reptile Terrarium Schematic",,"Reptilien Terrarium Schema"
cntShoppingCartEmptyITAVSchematic,items,,,,"Empty Shopping Cart Schematic",,"Leerer Warenkorb Schema"
cntMailBox01WhiteITAVSchematic,items,,,,"White Mailbox Schematic",,"Weißes Postfach-Schema"
houseFrontDoor1_v1ITAVSchematic,items,,,,"House Front Door White Schematic",,"Haustür weiß Schema"
houseFrontDoor2_v1ITAVSchematic,items,,,,"House Front Door Brown Schematic",,"Haustür braun Schema"
cntMicrowaveOvenVer1ClosedITAVSchematic,items,,,,"Microwave Black Schematic",,"Mikrowellenschwarzes Schaltbild"
cntMicrowaveOvenVer2ClosedITAVSchematic,items,,,,"Microwave Brown Schematic",,"Mikrowellenbrauner Schaltplan"
decoCookingPotITAVSchematic,items,,,,"Decorative Cooking Pot Schematic",,"Dekorativer Kochtopf Schema"
cntRetroFridgeVer1ClosedITAVSchematic,items,,,,"Retro Refrigerator Schematic",,"Retro-Kühlschrank-Schema"
cntFridgeStainlessSteelITAVSchematic,items,,,,"Refrigerator, Stainless Steel Schematic",,"Kühlschrank, Edelstahl Schema"
cntDomedTrashCanEmptyITAVSchematic,items,,,,"Domed Trash Can, Empty Schematic",,"Gewölbter Mülleimer leer, Schaltplan"
cntDomedTrashCanCornerEmptyITAVSchematic,items,,,,"Domed Trash Can Corner, Empty Schematic",,"Gewölbte Mülleimerecke leer, Schaltplan"
cntBruteStyleTrashCanEmptyITAVSchematic,items,,,,"Trash Can, Empty Schematic",,"Mülleimer leer, Schaltplan"
cntWaterCoolerFullITAVSchematic,items,,,,"Water Cooler Schematic",,"Wasserkühler Schema"
signDinersMenuITAVSchematic,items,,,,"Sign: Diners Menu Schematic",,"Schild: Diners Menüschema"
signDinersMenu2mITAVSchematic,items,,,,"Diner Menu Board Schematic",,"Diner Menu Board Schema"
signLaborDaySaleAdITAVSchematic,items,,,,"Sign: Labor Day Sle Ad Schematic",,"Schild: Anzeigenschema zum Labor Day Sale"
signSale01ITAVSchematic,items,,,,"Sign: Sale 01 Schematic",,"Schild: Verkauf 01 Schaltplan"
signSale02ITAVSchematic,items,,,,"Sign: Sale 02 Schematic",,"Schild: Verkauf 02 Schaltplan"
decoPoolTableITAVSchematic,items,,,,"Pool Table Schematic",,"Billardtisch Schema"
cntWoodBurningStoveDecoITAVSchematic,items,,,,"Wood Burning Stove Schematic",,"Holzofen Schema"



LightStreetLightClassicITAVSchematic,items,,,,"Classic Street Light",,"Klassische Straßenlaterne"
signShopOpenLightITAVSchematic,items,,,,"Shop Open Sign",,"Ladenöffnungsschild"
LightDeskLampLightITAVSchematic,items,,,,"Desk Lamp",,"Schreibtischlampe"
LightTableLampLightITAVSchematic,items,,,,"Table Lamp",,"Tischlampe"
LightTableLampLightCenteredITAVSchematic,items,,,,"Table Lamp Centered",,"Tischlampe zentriert"
LightPorchLight01ITAVSchematic,items,,,,"Old Porch Lamp",,"Alte Verandalampe"
LightPorchLight04BrassITAVSchematic,items,,,,"Brass Porch Lamp",,"Verandalampe aus Messing"
LightPorchLight04ITAVSchematic,items,,,,"Iron Porch Lamp",,"Eiserne Verandalampe"
LightCeilingLight02ITAVSchematic,items,,,,"Iron Ceiling Lamp",,"Eiserne Deckenlampe"
LightCeilingLight02BrassITAVSchematic,items,,,,"Brass Ceiling Lamp",,"Deckenlampe aus Messing"

resourceEggCartonOneITAV,items,,,,"Carton of Cassadore Eggs",,"Karton Cassadore-Eier"
resourceEggCartonTwoITAV,items,,,,"Carton of Cassadore Eggs",,"Karton Cassadore-Eier"
resourceEggCartonThreeITAV,items,,,,"Carton of Cassadore Eggs",,"Karton Cassadore-Eier"
resourceEggCartonFourITAV,items,,,,"Carton of Cassadore Eggs",,"Karton Cassadore-Eier"
resourceEggCartonFiveITAV,items,,,,"Carton of Cassadore Eggs",,"Karton Cassadore-Eier"
resourceEggCartonSixITAV,items,,,,"Carton of Cassadore Eggs",,"Karton Cassadore-Eier"
resourceEggCartonITAVDesc,items,,,,"A carton of Cassadore's delicious eggs. It smells a bit foul - open at your own peril.",,"Ein Karton mit Cassadores leckeren Eiern. Es riecht ein bisschen faulig – öffnen auf eigene Gefahr."

drinkJarIncreaseMaxAllowedProfessionsElixirITAV,items,,,,"Profession Increase Elixir",,"Berufserhöhungselixier"
drinkJarIncreaseMaxAllowedProfessionsElixirITAVDesc,items,,,,"Drinking this elixir will increase your number of max allowed Professions by 1 each time.",,"Wenn Sie dieses Elixier trinken, erhöht sich Ihre Anzahl der maximal erlaubten Berufe jedes Mal um 1."
drinkJarIncreaseMaxAllowedProfessionsElixirITAVTooltip,,,,,"You can now learn 1 more Profession than before",,"Du kannst jetzt 1 Beruf mehr lernen als zuvor"

foodRawChickenMeatITAV,items,,,,"Raw Chicken Meat",,"Rohes Hühnerfleisch"
foodRawChickenMeatITAVDesc,items,,,,"Chicken Meat can be eaten raw but is better charred, grilled or boiled at a campfire. Can be prepared for better cooking by a Cook.",,"Hähnchenfleisch kann roh gegessen werden, ist aber besser angekohlt, gegrillt oder am Lagerfeuer gekocht. Kann von einem Koch für eine bessere Zubereitung zubereitet werden."
foodRawChickenMeatPreparedITAV,items,,,,"Prepared Raw Chicken Meat",,"Zubereitetes rohes Hühnerfleisch"
foodRawChickenMeatPreparedITAVDesc,items,,,,"Prepared Raw Chicken Meat is sliced, diced and ready for some serious cooking action. \n \n This recipe produces 1 serving.",,"Zubereitetes rohes Hühnerfleisch ist in Scheiben geschnitten, gewürfelt und bereit für ernsthafte Kochaktionen. \n \n Dieses Rezept ergibt 1 Portion."
foodRawMeatPreparedITAV,items,,,,"Prepared Raw Meat",,"Zubereitetes rohes Fleisch"
foodRawMeatPreparedITAVDesc,items,,,,"Prepared Raw Meat is sliced, diced and ready for some serious cooking action. \n \n This recipe produces 1 serving.",,"Zubereitetes rohes Fleisch ist in Scheiben geschnitten, gewürfelt und bereit für ernsthafte Kochaktionen. \n \n Dieses Rezept ergibt 1 Portion."
foodChickenBrothITAV,items,,,,"Chicken Broth",,"Hühnersuppe"
foodChickenBrothITAVDesc,items,,,,"Chicken Broth, best used for cooking more advanced meals with. \n \n This recipe produces 5 servings.",,"Hühnerbrühe, am besten zum Zubereiten fortgeschrittener Mahlzeiten geeignet. \n \n Dieses Rezept ergibt 5 Portionen."
foodMeatBrothITAV,items,,,,"Meat Broth",,"Fleischbrühe"
foodMeatBrothITAVDesc,items,,,,"Meat Broth, best used for cooking more advanced meals with. \n \n This recipe produces 5 servings.",,"Fleischbrühe, am besten zum Zubereiten fortgeschrittener Mahlzeiten geeignet. \n \n Dieses Rezept ergibt 5 Portionen."
foodVegetableBrothITAV,items,,,,"Vegetable Broth",,"Gemüsebrühe"
foodVegetableBrothITAVDesc,items,,,,"Vegetable Broth, best used for cooking more advanced meals with. \n \n This recipe produces 2 servings.",,"Gemüsebrühe, am besten zum Zubereiten fortgeschrittener Mahlzeiten geeignet. \n \n Dieses Rezept ergibt 2 Portionen."
foodChickenSoupITAV,items,,,,"Chicken Soup"
foodChickenSoupITAVDesc,items,,,,"Nothing is more soothing than a nice bowl of Chicken Soup. Except perhaps a strong and well-maintained perimiter defense. \n \n This recipe produces 3 comforting servings.",,"Nichts ist beruhigender als eine schöne Schüssel Hühnersuppe. Außer vielleicht einer starken und gut gepflegten Perimeterverteidigung. \n \n Dieses Rezept ergibt 3 beruhigende Portionen."
foodChickenSoupSpicyITAV,items,,,,"Spicy Chicken Soup",,"Würzige Hühnersuppe"
foodChickenSoupSpicyITAVDesc,items,,,,"Spicy Chicken Soup, the hot cousin of regular Chicken Soup. Keeps your tummy warm and happy. \n \n This recipe produces 1 warming serving.",,"Würzige Hühnersuppe, die scharfe Cousine der normalen Hühnersuppe. Hält Ihren Bauch warm und glücklich. \in\Dieses Rezept ergibt 1 wärmende Portion."
foodSrirachaKetchupSpiceITAV,items,,,,"Sriracha Sauce",,"Sriracha Sauce"
foodSrirachaKetchupSpiceITAVDesc,items,,,,"Sriracha Sauce. Hot hot hot! The label says 'Don't eat it'.",,"Sriracha-Sauce. Heiß, heiß, heiß! Auf dem Etikett steht: 'Nicht essen'."
foodChickenStewITAV,items,,,,"Chicken Stew",,"Hühnereintopf"
foodChickenStewITAVDesc,items,,,,"Tastes like Chicken! \n \n This recipe produces 3 juicy servings.",,"Schmeckt wie Hühnchen! \n \n Dieses Rezept ergibt 3 saftige Portionen."
drinkJarCoffeeSpicyITAV,items,,,,"Spicy Coffee Cocktail",,"Würziger Kaffeecocktail"
drinkJarCoffeeSpicyITAVDesc,items,,,,"A zippy cousin of the Blackstrap coffee, this tasty treat will give you long lasting energy and keep you warm at the same time. \n \n This recipe produces 1 hot serving.",,"Ein spritziger Cousin des Blackstrap-Kaffees, dieser leckere Leckerbissen gibt Ihnen langanhaltende Energie und hält Sie gleichzeitig warm. \n \n Dieses Rezept ergibt 1 heiße Portion."
foodChickenEmpanadasITAV,items,,,,"Chicken Empanadas",,"Hühnchenempanadas"
foodChickenEmpanadasITAVDesc,items,,,,"Tender, juicy, shredded and spiced chicken make a savory filling for empanadas. \n \n This recipe produces 3 crispy servings.","Zartes, saftiges, zerkleinertes und gewürztes Hähnchen ergibt eine herzhafte Füllung für Empanadas. \in\Dieses Rezept ergibt 3 knusprige Portionen."
foodHoboStewDesc,items,,,,"Nutritious and deli... it's edible, ok? \n \n This recipe produces 2 questionable servings.",,"Nahrhaft und lecker... es ist essbar, auf\Dieses Rezept ergibt 2 fragwürdige Portionen."
foodGumboStewDesc,items,,,,"Vomiting is for the poor! Eat like apocalyptic royalty with this super filling, delicious gumbo stew. \n \n This recipe produces 2 filling servings.",,"Erbrechen ist für die Armen! Essen Sie wie apokalyptische Könige mit diesem super sättigenden, köstlichen Gumbo-Eintopf. \n \n Dieses Rezept ergibt 2 sättigende Portionen."
foodRosysCrunchyAcornPieITAV,items,,,,"Rosy's Crunchy Acorn Pie",,"Rosys Crunchy Acorn Pie"
foodRosysCrunchyAcornPieITAVDesc,items,,,,"This delightful pastry is the pride of every baker worth their salt. \n \n ...Until someone questions the ingredients, and the shotgun comes out.",,"Dieses köstliche Gebäck ist der Stolz eines jeden Bäckers, der sein Salz wert ist. \n \n  ... bis jemand die Zutaten in Frage stellt und die Schrotflinte herauskommt."
foodDoughITAV,items,,,,"Dough",,"Teig"
foodDoughITAVDesc,items,,,,"Dough is used for turning blueberries, pumpkins or acorns into pies or cheesecake.",,"Teig wird verwendet, um Heidelbeeren, Kürbisse oder Eicheln zu Pasteten oder Käsekuchen zu verarbeiten."


buffXpFoodT2Desc,buffs,Buff,,,Learning is easier when the body is fed.\n  +2% XP.,,Lernen ist einfacher, wenn der Körper ernährt wird.\n  +2 % EP.
buffXpFoodT2Name,buffs,Buff,,,Good food XP bonus,,EP-Bonus für gutes Essen
buffXpFoodT2Tooltip,buffs,Buff,,,Ready for some learning.,,Bereit für etwas Lernen.
buffXpFoodT3Desc,buffs,Buff,,,Nourished body, fresh brain.\n +4% XP.,,Ernährter Körper, frisches Gehirn.\n +4 % XP.
buffXpFoodT3Name,buffs,Buff,,,Great food XP bonus,,Toller Essens-XP-Bonus
buffXpFoodT3Tooltip,buffs,Buff,,,Ready for some learning.,,Bereit für etwas Lernen.
buffXpFoodT4Desc,buffs,Buff,,,Brainfood helps learning.\n +6% XP.,,Brainfood hilft beim Lernen.\n +6 % XP.
buffXpFoodT4Name,buffs,Buff,,,Awesome food XP bonus,,Toller Essens-XP-Bonus
buffXpFoodT4Tooltip,buffs,Buff,,,Ready for some learning.,,Bereit für etwas Lernen.

buffRunSpeedFoodT2Desc,buffs,Buff,,,Better food gets you further.\n +2% Run Speed during daytime.,,Besseres Essen bringt dich weiter.\n +2 % Laufgeschwindigkeit tagsüber.
buffRunSpeedFoodT2Name,buffs,Buff,,,Good food Run Speed bonus,,Gutes Essen Laufgeschwindigkeitsbonus
buffRunSpeedFoodT2Tooltip,buffs,Buff,,,Ready for some running!,,Bereit zum Laufen!
buffRunSpeedFoodT3Desc,buffs,Buff,,,Nourished body, faster feet.\n +4% Run Speed during daytime.,,Ernährter Körper, schnellere Füße.\n +4 % Laufgeschwindigkeit tagsüber.
buffRunSpeedFoodT3Name,buffs,Buff,,,Great food Run Speed bonus,,Tolles Essen Laufgeschwindigkeitsbonus
buffRunSpeedFoodT3Tooltip,buffs,Buff,,,Ready for some running!,,Bereit zum Laufen!
buffRunSpeedFoodT4Desc,buffs,Buff,,,Nutrition that goes straight to your legs.\n +6% Run Speed during daytime.,,Ernährung, die direkt in die Beine geht.\n +6 % Laufgeschwindigkeit tagsüber.
buffRunSpeedFoodT4Name,buffs,Buff,,,Awesome food Run Speed bonus,,Tolles Essen Laufgeschwindigkeitsbonus
buffRunSpeedFoodT4Tooltip,buffs,Buff,,,Ready for some running!,,Bereit zum Laufen!

casinoCoinDesc,items,Item,,,"A Duke's casino coin. After the epidemic and war these brass coins became the main currency for trading in Navezgane.\n \n Can be crafted into firearm ammunition in the workbench.",,"Die Kasinomünze eines Herzogs. Nach der Epidemie und dem Krieg wurden diese Messingmünzen zur Hauptwährung für den Handel in Navezgane.\n \n Können in der Werkbank zu Schusswaffenmunition verarbeitet werden."
vendingMachineTip,Journal Tip,,,,"There are two types of vending machines: vending machines found at stores and Player Owned Shops, which can be crafted. All vending Machines use Duke Coins which can be found in the world. You can see how much money you have in the upper right of your inventory.",,"Es gibt zwei Arten von Verkaufsautomaten: Verkaufsautomaten in Läden und Läden im Besitz von Spielern, die hergestellt werden können. Alle Verkaufsautomaten verwenden Duke-Münzen, die auf der ganzen Welt zu finden sind. Sie können sehen, wie viel Geld Sie in der Kasse haben oben rechts in deinem Inventar."

perkDeadEyeRank1LongDesc,progression, perk Per,,,"Pot Shot. You can hit the broad side of a barn and do 10% more damage with rifles. Aim and reload 10% faster. Craft quality 2 pipe rifles. \n Ask an Armorer to craft better weapons for you.",,"Pot Shot. Sie können die breite Seite einer Scheune treffen und mit Gewehren 10 % mehr Schaden anrichten. Zielen und 10 % schneller nachladen. Stellen Sie hochwertige Zweirohrgewehre her. \n Bitten Sie einen Waffenschmied, bessere Waffen für Sie herzustellen."
perkDeadEyeRank2LongDesc,progression, perk Per,,,"You can hit a large rock at 30 yards. Deal 20% more damage, aim 20% faster, reload 15% faster. Craft quality 3 pipe rifles. \n Ask an Armorer to craft better weapons for you.",,"Sie können einen großen Felsen auf 30 Meter treffen. Verursachen Sie 20 % mehr Schaden, zielen Sie 20 % schneller, laden Sie 15 % schneller nach. Stellen Sie hochwertige Dreirohrgewehre her. \n Bitten Sie einen Waffenschmied, bessere Waffen für Sie herzustellen."
perkDeadEyeRank3LongDesc,progression, perk Per,,,"You are now a markswoman and can hold your own. Deal 30% more damage , aim 32% faster, reload 20% faster and use 10% less stamina aiming with rifles.\n Kill Streak: Successive kills increase damage bonus by 10%, 20% to a maximum of 30%. Craft quality 4 pipe rifles. \n Ask an Armorer to craft better weapons for you.",,"Du bist jetzt eine Scharfschützin und kannst dich behaupten. Verursache 30 % mehr Schaden, ziele 32 % schneller, lade 20 % schneller nach und verbrauche 10 % weniger Ausdauer beim Zielen mit Gewehren.\n Kill Streak: Aufeinanderfolgende Kills erhöhen den Schadensbonus um 10 %, 20 % bis maximal 30 %. Stellen Sie 4-Rohr-Gewehre in Qualität her. \n Bitten Sie einen Waffenschmied, bessere Waffen für Sie herzustellen."
perkDeadEyeRank4LongDesc,progression, perk Per,,,"You are now a sharpshooter. Deal 40% more damage, aim 45% faster, reload 25% faster, and use 20% less stamina aiming with rifles.\n Kill Streak: Successive kills increase damage bonus by 20%, 30% to a maximum of 40%. Craft quality 5 pipe rifles. \n Ask an Armorer to craft better weapons for you.",,"Du bist jetzt ein Scharfschütze. Verursache 40 % mehr Schaden, ziele 45 % schneller, lade 25 % schneller nach und verbrauche 20 % weniger Ausdauer beim Zielen mit Gewehren.\n Kill Streak: Aufeinanderfolgende Kills erhöhen den Schadensbonus um 20 %, 30 % bis zu einem Maximum von 40 %. Stellen Sie hochwertige 5-Rohrgewehre her. \n Bitten Sie einen Waffenschmied, bessere Waffen für Sie herzustellen."
perkJavelinMasterRank1LongDesc,progression, perk Per,,,"Sticks and stones can't break my bones but if combined make a nice spear. Spears do 10% more damage and have 10% more range when thrown. Craft quality 2 stone spears. \n Ask an Armorer to craft better weapons for you.",,"Stöcke und Steine können meine Knochen nicht brechen, aber wenn sie kombiniert werden, ergeben sie einen schönen Speer. Speere verursachen 10 % mehr Schaden und haben 10 % mehr Reichweite, wenn sie geworfen werden. Stellen Sie 2 Steinspeere in Qualität her. \n Bitten Sie einen Waffenschmied, bessere Waffen herzustellen Sie."
perkJavelinMasterRank2LongDesc,progression, perk Str,,,"Spears now inflict 20% more damage and have 20% more range when thrown. Craft quality 3 stone spears. \n Ask an Armorer to craft better spears for you.",,"Speere verursachen jetzt 20 % mehr Schaden und haben 20 % mehr Reichweite, wenn sie geworfen werden. Stelle 3 Steinspeere in Qualität her. \n Bitte einen Waffenschmied, bessere Speere für dich herzustellen."
perkJavelinMasterRank3LongDesc,progression, perk Str,,,"Spears inflict 30% more damage and have 30% more range when thrown. Craft quality 4 stone spears. \n Ask an Armorer to craft better spears for you.",,"Speere verursachen 30 % mehr Schaden und haben 30 % mehr Reichweite, wenn sie geworfen werden. Stelle 4 Steinspeere in Qualität her. \n Bitte einen Waffenschmied, bessere Speere für dich herzustellen."
perkJavelinMasterRank4LongDesc,progression, perk Str,,,"Spears now inflict 40% more damage and have 40% more range. Craft quality 5 stone spears. \n Ask an Armorer to craft better spears for you.",,"Speere verursachen jetzt 40 % mehr Schaden und haben 40 % mehr Reichweite. Stellen Sie 5 Steinspeere in Qualität her. \n Bitten Sie einen Waffenschmied, bessere Speere für Sie herzustellen."
perkBoomstickRank1LongDesc,progression, perk Str,,,"Maybe your aim isn't so good or you just like doing a lot of damage up close and personal. Either way a noob with a shotgun is not to be messed with. Deal 10% more damage, 10% faster fire rate, and 10% faster reload. Stun enemies for 6 seconds.\n Increases chance to dismember by 5%. Craft quality 2 pipe shotguns. \n Ask an Armorer to craft better shotguns for you.",,"Vielleicht kannst du nicht so gut zielen oder du machst einfach gerne viel Schaden aus nächster Nähe. So oder so ist mit einem Noob mit einer Schrotflinte nicht zu spaßen. Verursache 10 % mehr Schaden, 10 % schnellere Feuerrate und 10 % schnelleres Nachladen. Betäube Feinde 6 Sekunden lang.\n Erhöht die Chance auf Zerstückelung um 5 %. Stelle hochwertige 2-Rohr-Schrotflinten her. \n Bitte einen Waffenschmied, bessere Schrotflinten für dich herzustellen."
